,address,town,latitude,longitude,price,bedrooms,agent,search_street,search_area
0,Epirus Road,London,51.47854,-0.191796,7500000.0,5,Aylesford International,Epirus Road,London
1,Epirus Road,London,51.48291,-0.197614,6500000.0,6,UK Sotheby's International Realty - London,Epirus Road,London
2,Epirus Road,London,51.48291,-0.197614,3850000.0,4,John D Wood & Co. - Fulham Broadway Sales,Epirus Road,London
3,Epirus Road,London,51.477135,-0.205733,3725000.0,5,Keller Williams Prime Properties,Epirus Road,London
4,Epirus Road,London,51.479687,-0.199628,3000000.0,10,Keller Williams Prime Properties,Epirus Road,London
5,Epirus Road,London,51.47536,-0.203787,3000000.0,5,Strutt & Parker - Fulham,Epirus Road,London
6,Epirus Road,London,51.477894,-0.2035,2750000.0,5,Breteuil,Epirus Road,London
7,Epirus Road,London,51.477726,-0.203867,2750000.0,5,Quinta estates,Epirus Road,London
8,Epirus Road,London,51.479687,-0.199628,2750000.0,10,Allsop LLP,Epirus Road,London
9,Epirus Road,London,51.477894,-0.2035,2750000.0,5,Chestertons - Fulham Road,Epirus Road,London
10,Sigdon Road,London,51.54702,-0.06346,2275000.0,10,Barnard Marcus - Auctions,Sigdon Road,London
11,Sigdon Road,London,51.543327,-0.066559,2000000.0,5,Stirling Ackroyd - Hackney,Sigdon Road,London
12,Sigdon Road,London,51.548862,-0.051526,1800000.0,6,Keatons - Hackney,Sigdon Road,London
13,Sigdon Road,London,51.548775,-0.0724,1695000.0,5,Keatons - Hackney,Sigdon Road,London
14,Sigdon Road,London,51.54702,-0.06346,1690000.0,5,Stirling Ackroyd - Hackney,Sigdon Road,London
15,Sigdon Road,London,51.549004,-0.061674,1500000.0,4,Foxtons - Hackney,Sigdon Road,London
16,Sigdon Road,London,51.548813,-0.067985,1475000.0,4,Foxtons - Hackney,Sigdon Road,London
17,Sigdon Road,London,51.548813,-0.067985,1475000.0,4,Knight Bishop,Sigdon Road,London
18,Sigdon Road,London,51.548775,-0.0724,1450000.0,5,Currell - Hackney,Sigdon Road,London
19,Sigdon Road,London,51.548775,-0.0724,1450000.0,5,Stirling Ackroyd - Dalston,Sigdon Road,London
20,Wansey Street,London,51.494747,-0.098768,17999999.0,3,Relocate Me,Wansey Street,London
21,Wansey Street,London,51.496876,-0.101359,3835000.0,3,London Property Guru,Wansey Street,London
22,Wansey Street,London,51.497185,-0.099891,3835000.0,3,McMahon & Partners,Wansey Street,London
23,Wansey Street,London,51.498512,-0.099778,3750000.0,3,McMahon & Partners,Wansey Street,London
24,Wansey Street,London,51.496876,-0.101359,3295000.0,2,London Property Guru,Wansey Street,London
25,Wansey Street,London,51.496876,-0.101359,3295000.0,2,London Property Guru,Wansey Street,London
26,Wansey Street,London,51.495785,-0.09922638,0.0,2,JLL - New Homes,Wansey Street,London
27,Wansey Street,London,51.49817,-0.092963,3000000.0,5,Hamptons International - Tower Bridge Sales,Wansey Street,London
28,Wansey Street,London,51.4951,-0.104905,2450000.0,4,Winkworth - Kennington Sales,Wansey Street,London
29,Wansey Street,London,51.497185,-0.099891,2050000.0,2,JLL - Elephant & Castle,Wansey Street,London
30,Whitstable,Kent,51.34905,1.006647,1500000.0,4,Miles & Barr - Exclusive,Whitstable,Kent
31,Whitstable,Kent,51.350117,1.016844,1450000.0,4,Christopher Hodgson,Whitstable,Kent
32,Whitstable,Kent,51.35708,1.018307,1150000.0,4,Christopher Hodgson,Whitstable,Kent
33,Whitstable,Kent,51.326996,1.001069,1075000.0,4,KimberWoodward,Whitstable,Kent
34,Whitstable,Kent,51.364483,1.048062,1000000.0,4,Kent Estate Agencies,Whitstable,Kent
35,Whitstable,Kent,51.351795,1.067142,995000.0,5,Kent Estate Agencies,Whitstable,Kent
36,Whitstable,Kent,51.32475,0.988591,950000.0,0,WH Breading & Son Estate Agents Ltd,Whitstable,Kent
37,Whitstable,Kent,51.355846,1.023182,895000.0,4,Christopher Hodgson,Whitstable,Kent
38,Whitstable,Kent,51.347782,1.061473,895000.0,10,Miles & Barr - Exclusive,Whitstable,Kent
39,Whitstable,Kent,51.351677,1.070696,895000.0,5,Kent Estate Agencies,Whitstable,Kent
40, Wood Lane,London,53.04655,-2.293768,420000.0,4,Follwells, Wood Lane,London
41, Wood Lane,London,53.045555,-2.296148,399950.0,5,"Purplebricks, Head Office", Wood Lane,London
42, Wood Lane,London,53.04648,-2.266366,395000.0,3,Graham Watkins & Co, Wood Lane,London
43, Wood Lane,London,53.04648,-2.266366,345000.0,2,Graham Watkins & Co, Wood Lane,London
44, Wood Lane,London,53.04648,-2.266366,345000.0,2,Graham Watkins & Co, Wood Lane,London
45, Wood Lane,London,53.047672,-2.283886,280000.0,4,"Purplebricks, Head Office", Wood Lane,London
46, Wood Lane,London,53.047672,-2.283886,270000.0,4,"Purplebricks, Head Office", Wood Lane,London
47, Wood Lane,London,53.04322,-2.298996,229950.0,4,Samuel Makepeace Bespoke Estate Agents - Kidsgrove, Wood Lane,London
